date,cmname,price,mktname
11/15/2013,Wheat flour - Retail,36.4444,Chittagong Division
12/15/2013,Wheat flour - Retail,36.89,Chittagong Division
1/15/2014,Wheat flour - Retail,37.5,Chittagong Division
2/15/2014,Wheat flour - Retail,37.6,Chittagong Division
3/15/2014,Wheat flour - Retail,37.1,Chittagong Division
4/15/2014,Wheat flour - Retail,37.3,Chittagong Division
5/15/2014,Wheat flour - Retail,37.3,Chittagong Division
6/15/2014,Wheat flour - Retail,36.6,Chittagong Division
7/15/2014,Wheat flour - Retail,36.5556,Chittagong Division
8/15/2014,Wheat flour - Retail,36.2222,Chittagong Division
9/15/2014,Wheat flour - Retail,35.8,Chittagong Division
10/15/2014,Wheat flour - Retail,36.4,Chittagong Division
11/15/2014,Wheat flour - Retail,36.3636,Chittagong Division
12/15/2014,Wheat flour - Retail,36.2727,Chittagong Division
1/15/2015,Wheat flour - Retail,35.7143,Chittagong Division
2/15/2015,Wheat flour - Retail,35.7143,Chittagong Division
3/15/2015,Wheat flour - Retail,35.6429,Chittagong Division
4/15/2015,Wheat flour - Retail,35.7273,Chittagong Division
5/15/2015,Wheat flour - Retail,34.7273,Chittagong Division
6/15/2015,Wheat flour - Retail,34,Chittagong Division
7/15/2015,Wheat flour - Retail,34.18,Chittagong Division
8/15/2015,Wheat flour - Retail,34.09,Chittagong Division
9/15/2015,Wheat flour - Retail,34.1,Chittagong Division
10/15/2015,Wheat flour - Retail,33.91,Chittagong Division
11/15/2015,Wheat flour - Retail,33.91,Chittagong Division
12/15/2015,Wheat flour - Retail,33.91,Chittagong Division
1/15/2016,Wheat flour - Retail,33.44,Chittagong Division
2/15/2016,Wheat flour - Retail,33.37,Chittagong Division
3/15/2016,Wheat flour - Retail,33.11,Chittagong Division
4/15/2016,Wheat flour - Retail,33,Chittagong Division
5/15/2016,Wheat flour - Retail,32.1,Chittagong Division
6/15/2016,Wheat flour - Retail,31.5,Chittagong Division
7/15/2016,Wheat flour - Retail,31.5,Chittagong Division
8/15/2016,Wheat flour - Retail,32,Chittagong Division
9/15/2016,Wheat flour - Retail,31.6,Chittagong Division
10/15/2016,Wheat flour - Retail,32.3,Chittagong Division
11/15/2016,Wheat flour - Retail,31.3,Chittagong Division
12/15/2016,Wheat flour - Retail,31.4,Chittagong Division
1/15/2017,Wheat flour - Retail,30.55,Chittagong Division
2/15/2017,Wheat flour - Retail,30.62,Chittagong Division
3/15/2017,Wheat flour - Retail,30.5,Chittagong Division
4/15/2017,Wheat flour - Retail,30.5,Chittagong Division
5/15/2017,Wheat flour - Retail,30.5,Chittagong Division
6/15/2017,Wheat flour - Retail,30.6882,Chittagong Division
7/15/2017,Wheat flour - Retail,30.75,Chittagong Division
8/15/2017,Wheat flour - Retail,31,Chittagong Division
9/15/2017,Wheat flour - Retail,31.5709,Chittagong Division
10/15/2017,Wheat flour - Retail,33.0564,Chittagong Division
11/15/2017,Wheat flour - Retail,33.1,Chittagong Division
12/15/2017,Wheat flour - Retail,30.052,Chittagong Division
1/15/2018,Wheat flour - Retail,46.285,Chittagong Division
2/15/2018,Wheat flour - Retail,46.808,Chittagong Division
3/15/2018,Wheat flour - Retail,46.625,Chittagong Division
4/15/2018,Wheat flour - Retail,34.906,Chittagong Division
5/15/2018,Wheat flour - Retail,32.788,Chittagong Division
6/15/2018,Wheat flour - Retail,32.51,Chittagong Division
7/15/2018,Wheat flour - Retail,32.409,Chittagong Division
8/15/2018,Wheat flour - Retail,32.335,Chittagong Division
9/15/2018,Wheat flour - Retail,32.587,Chittagong Division
10/15/2018,Wheat flour - Retail,32.775,Chittagong Division
11/15/2018,Wheat flour - Retail,33.091,Chittagong Division
12/15/2018,Wheat flour - Retail,32.804,Chittagong Division
1/15/2019,Wheat flour - Retail,32.88,Chittagong Division
2/15/2019,Wheat flour - Retail,32.85,Chittagong Division
3/15/2019,Wheat flour - Retail,32.77,Chittagong Division
4/15/2019,Wheat flour - Retail,32.68,Chittagong Division
5/15/2019,Wheat flour - Retail,32.72,Chittagong Division
6/15/2019,Wheat flour - Retail,32.68,Chittagong Division
7/15/2019,Wheat flour - Retail,32.9666,Chittagong Division
10/15/2019,Wheat flour - Retail,33.4,Chittagong Division
11/15/2019,Wheat flour - Retail,33.5,Chittagong Division
12/15/2019,Wheat flour - Retail,33.5,Chittagong Division
1/15/2020,Wheat flour - Retail,33.5,Chittagong Division
2/15/2020,Wheat flour - Retail,33.8,Chittagong Division
3/15/2020,Wheat flour - Retail,33.9,Chittagong Division
4/15/2020,Wheat flour - Retail,34.12,Chittagong Division
5/15/2020,Wheat flour - Retail,34.1,Chittagong Division
6/15/2020,Wheat flour - Retail,33.88,Chittagong Division
7/15/2020,Wheat flour - Retail,33,Chittagong Division
8/15/2020,Wheat flour - Retail,33,Chittagong Sadar
9/15/2020,Wheat flour - Retail,33,Chittagong Sadar
10/15/2020,Wheat flour - Retail,33,Chittagong Sadar
11/15/2020,Wheat flour - Retail,33,Chittagong Sadar
12/15/2020,Wheat flour - Retail,33,Chittagong Sadar
1/15/2021,Wheat flour - Retail,33,Chittagong Sadar
2/15/2021,Wheat flour - Retail,33.3125,Chittagong Sadar
3/15/2021,Wheat flour - Retail,34,Chittagong Sadar
4/15/2021,Wheat flour - Retail,34,Chittagong Sadar
5/15/2021,Wheat flour - Retail,34,Chittagong Sadar
6/15/2021,Wheat flour - Retail,34.15,Chittagong Sadar
7/15/2021,Wheat flour - Retail,34.5,Chittagong Sadar
8/15/2021,Wheat flour - Retail,34.7,Chittagong Sadar
9/15/2021,Wheat flour - Retail,33.15,Chittagong Sadar
10/15/2021,Wheat flour - Retail,39.15,Chittagong Sadar
11/15/2021,Wheat flour - Retail,39.51,Chittagong Sadar
12/15/2021,Wheat flour - Retail,39.81,Chittagong Sadar
