date,cmname,price,mktname
2/15/2015,Lentils (masur) - Retail,95.25,Sylhet Division
3/15/2015,Lentils (masur) - Retail,96,Sylhet Division
4/15/2015,Lentils (masur) - Retail,94,Sylhet Division
5/15/2015,Lentils (masur) - Retail,100,Sylhet Division
6/15/2015,Lentils (masur) - Retail,100,Sylhet Division
7/15/2015,Lentils (masur) - Retail,101,Sylhet Division
8/15/2015,Lentils (masur) - Retail,104.75,Sylhet Division
9/15/2015,Lentils (masur) - Retail,107.5,Sylhet Division
10/15/2015,Lentils (masur) - Retail,111,Sylhet Division
11/15/2015,Lentils (masur) - Retail,109.75,Sylhet Division
12/15/2015,Lentils (masur) - Retail,107,Sylhet Division
1/15/2016,Lentils (masur) - Retail,105.5,Sylhet Division
2/15/2016,Lentils (masur) - Retail,103.75,Sylhet Division
3/15/2016,Lentils (masur) - Retail,105.5,Sylhet Division
4/15/2016,Lentils (masur) - Retail,107,Sylhet Division
5/15/2016,Lentils (masur) - Retail,107.25,Sylhet Division
6/15/2016,Lentils (masur) - Retail,108.25,Sylhet Division
7/15/2016,Lentils (masur) - Retail,109,Sylhet Division
8/15/2016,Lentils (masur) - Retail,109,Sylhet Division
9/15/2016,Lentils (masur) - Retail,109.7,Sylhet Division
10/15/2016,Lentils (masur) - Retail,106.75,Sylhet Division
11/15/2016,Lentils (masur) - Retail,101.5,Sylhet Division
12/15/2016,Lentils (masur) - Retail,105,Sylhet Division
1/15/2017,Lentils (masur) - Retail,111.25,Sylhet Division
2/15/2017,Lentils (masur) - Retail,106.25,Sylhet Division
3/15/2017,Lentils (masur) - Retail,91,Sylhet Division
4/15/2017,Lentils (masur) - Retail,89.5,Sylhet Division
5/15/2017,Lentils (masur) - Retail,78,Sylhet Division
6/15/2017,Lentils (masur) - Retail,85.4925,Sylhet Division
7/15/2017,Lentils (masur) - Retail,98.5,Sylhet Division
8/15/2017,Lentils (masur) - Retail,71.645,Sylhet Division
9/15/2017,Lentils (masur) - Retail,72.02,Sylhet Division
10/15/2017,Lentils (masur) - Retail,72.3175,Sylhet Division
11/15/2017,Lentils (masur) - Retail,81.3,Sylhet Division
12/15/2017,Lentils (masur) - Retail,73.333,Sylhet Division
1/15/2018,Lentils (masur) - Retail,69.913,Sylhet Division
2/15/2018,Lentils (masur) - Retail,64.887,Sylhet Division
3/15/2018,Lentils (masur) - Retail,65.417,Sylhet Division
4/15/2018,Lentils (masur) - Retail,64.11,Sylhet Division
5/15/2018,Lentils (masur) - Retail,59.07,Sylhet Division
6/15/2018,Lentils (masur) - Retail,59.53,Sylhet Division
7/15/2018,Lentils (masur) - Retail,61.46,Sylhet Division
8/15/2018,Lentils (masur) - Retail,61.167,Sylhet Division
9/15/2018,Lentils (masur) - Retail,54.5,Sylhet Division
10/15/2018,Lentils (masur) - Retail,54.39,Sylhet Division
11/15/2018,Lentils (masur) - Retail,56.75,Sylhet Division
12/15/2018,Lentils (masur) - Retail,57.805,Sylhet Division
1/15/2019,Lentils (masur) - Retail,64.5,Sylhet Division
2/15/2019,Lentils (masur) - Retail,67.64,Sylhet Division
3/15/2019,Lentils (masur) - Retail,69.75,Sylhet Division
4/15/2019,Lentils (masur) - Retail,68.87,Sylhet Division
5/15/2019,Lentils (masur) - Retail,68.73,Sylhet Division
6/15/2019,Lentils (masur) - Retail,69.92,Sylhet Division
8/15/2019,Lentils (masur) - Retail,67.5333,Sylhet Division
10/15/2019,Lentils (masur) - Retail,68.3,Sylhet Division
11/15/2019,Lentils (masur) - Retail,68,Sylhet Division
12/15/2019,Lentils (masur) - Retail,68.8,Sylhet Division
1/15/2020,Lentils (masur) - Retail,75.4,Sylhet Division
2/15/2020,Lentils (masur) - Retail,76.3,Sylhet Division
3/15/2020,Lentils (masur) - Retail,76.9,Sylhet Division
4/15/2020,Lentils (masur) - Retail,92.3,Sylhet Division
5/15/2020,Lentils (masur) - Retail,89.4,Sylhet Division
6/15/2020,Lentils (masur) - Retail,81.8,Sylhet Division
7/15/2020,Lentils (masur) - Retail,75.2,Sylhet Division
8/15/2020,Lentils (masur) - Retail,74,Sylhet Sadar
9/15/2020,Lentils (masur) - Retail,74,Sylhet Sadar
10/15/2020,Lentils (masur) - Retail,74,Sylhet Sadar
11/15/2020,Lentils (masur) - Retail,75.6,Sylhet Sadar
12/15/2020,Lentils (masur) - Retail,71.6,Sylhet Sadar
1/15/2021,Lentils (masur) - Retail,72,Sylhet Sadar
2/15/2021,Lentils (masur) - Retail,75,Sylhet Sadar
3/15/2021,Lentils (masur) - Retail,75,Sylhet Sadar
4/15/2021,Lentils (masur) - Retail,75,Sylhet Sadar
5/15/2021,Lentils (masur) - Retail,78.75,Sylhet Sadar
6/15/2021,Lentils (masur) - Retail,78.4375,Sylhet Sadar
7/15/2021,Lentils (masur) - Retail,77.5,Sylhet Sadar
8/15/2021,Lentils (masur) - Retail,77.5,Sylhet Sadar
9/15/2021,Lentils (masur) - Retail,82.7,Sylhet Sadar
10/15/2021,Lentils (masur) - Retail,87.03,Sylhet Sadar
11/15/2021,Lentils (masur) - Retail,91.85,Sylhet Sadar
12/15/2021,Lentils (masur) - Retail,92.92,Sylhet Sadar
