date,cmname,price,mktname
6/15/2013,Lentils (masur) - Retail,82.0833,Rajshahi Division
7/15/2013,Lentils (masur) - Retail,81.58,Rajshahi Division
8/15/2013,Lentils (masur) - Retail,82.3,Rajshahi Division
9/15/2013,Lentils (masur) - Retail,81,Rajshahi Division
10/15/2013,Lentils (masur) - Retail,78.8333,Rajshahi Division
11/15/2013,Lentils (masur) - Retail,79,Rajshahi Division
12/15/2013,Lentils (masur) - Retail,80.83,Rajshahi Division
1/15/2014,Lentils (masur) - Retail,81.09,Rajshahi Division
2/15/2014,Lentils (masur) - Retail,79.2727,Rajshahi Division
3/15/2014,Lentils (masur) - Retail,77.9167,Rajshahi Division
4/15/2014,Lentils (masur) - Retail,78.55,Rajshahi Division
5/15/2014,Lentils (masur) - Retail,79.95,Rajshahi Division
6/15/2014,Lentils (masur) - Retail,81.45,Rajshahi Division
7/15/2014,Lentils (masur) - Retail,81.58,Rajshahi Division
8/15/2014,Lentils (masur) - Retail,76.4375,Rajshahi Division
9/15/2014,Lentils (masur) - Retail,71.2143,Rajshahi Division
10/15/2014,Lentils (masur) - Retail,85.1667,Rajshahi Division
11/15/2014,Lentils (masur) - Retail,86.4545,Rajshahi Division
12/15/2014,Lentils (masur) - Retail,85.6364,Rajshahi Division
1/15/2015,Lentils (masur) - Retail,88.75,Rajshahi Division
2/15/2015,Lentils (masur) - Retail,89.3333,Rajshahi Division
3/15/2015,Lentils (masur) - Retail,88.8333,Rajshahi Division
4/15/2015,Lentils (masur) - Retail,85.6667,Rajshahi Division
5/15/2015,Lentils (masur) - Retail,90.75,Rajshahi Division
6/15/2015,Lentils (masur) - Retail,94.1111,Rajshahi Division
7/15/2015,Lentils (masur) - Retail,96.1667,Rajshahi Division
8/15/2015,Lentils (masur) - Retail,103.4167,Rajshahi Division
9/15/2015,Lentils (masur) - Retail,102.92,Rajshahi Division
10/15/2015,Lentils (masur) - Retail,100.75,Rajshahi Division
11/15/2015,Lentils (masur) - Retail,100.25,Rajshahi Division
12/15/2015,Lentils (masur) - Retail,99.54,Rajshahi Division
1/15/2016,Lentils (masur) - Retail,100.54,Rajshahi Division
2/15/2016,Lentils (masur) - Retail,99.61,Rajshahi Division
3/15/2016,Lentils (masur) - Retail,98.5,Rajshahi Division
4/15/2016,Lentils (masur) - Retail,103.25,Rajshahi Division
5/15/2016,Lentils (masur) - Retail,105.92,Rajshahi Division
6/15/2016,Lentils (masur) - Retail,107.36,Rajshahi Division
7/15/2016,Lentils (masur) - Retail,107.83,Rajshahi Division
8/15/2016,Lentils (masur) - Retail,107.83,Rajshahi Division
9/15/2016,Lentils (masur) - Retail,106.2,Rajshahi Division
10/15/2016,Lentils (masur) - Retail,105.69,Rajshahi Division
11/15/2016,Lentils (masur) - Retail,101.45,Rajshahi Division
12/15/2016,Lentils (masur) - Retail,99,Rajshahi Division
1/15/2017,Lentils (masur) - Retail,96.1,Rajshahi Division
2/15/2017,Lentils (masur) - Retail,95.42,Rajshahi Division
3/15/2017,Lentils (masur) - Retail,87.91,Rajshahi Division
4/15/2017,Lentils (masur) - Retail,83.3077,Rajshahi Division
5/15/2017,Lentils (masur) - Retail,82.3846,Rajshahi Division
6/15/2017,Lentils (masur) - Retail,81.5214,Rajshahi Division
7/15/2017,Lentils (masur) - Retail,77.1067,Rajshahi Division
8/15/2017,Lentils (masur) - Retail,74.5317,Rajshahi Division
9/15/2017,Lentils (masur) - Retail,73.3717,Rajshahi Division
10/15/2017,Lentils (masur) - Retail,72.635,Rajshahi Division
11/15/2017,Lentils (masur) - Retail,69.8,Rajshahi Division
12/15/2017,Lentils (masur) - Retail,67.26,Rajshahi Division
1/15/2018,Lentils (masur) - Retail,66.598,Rajshahi Division
2/15/2018,Lentils (masur) - Retail,66.167,Rajshahi Division
3/15/2018,Lentils (masur) - Retail,66.167,Rajshahi Division
4/15/2018,Lentils (masur) - Retail,65.868,Rajshahi Division
5/15/2018,Lentils (masur) - Retail,66.3,Rajshahi Division
6/15/2018,Lentils (masur) - Retail,62.625,Rajshahi Division
7/15/2018,Lentils (masur) - Retail,62.625,Rajshahi Division
8/15/2018,Lentils (masur) - Retail,62.625,Rajshahi Division
9/15/2018,Lentils (masur) - Retail,62.532,Rajshahi Division
10/15/2018,Lentils (masur) - Retail,60.75,Rajshahi Division
11/15/2018,Lentils (masur) - Retail,57.58,Rajshahi Division
12/15/2018,Lentils (masur) - Retail,55.7,Rajshahi Division
1/15/2019,Lentils (masur) - Retail,55.88,Rajshahi Division
2/15/2019,Lentils (masur) - Retail,56.51,Rajshahi Division
3/15/2019,Lentils (masur) - Retail,57.11,Rajshahi Division
4/15/2019,Lentils (masur) - Retail,56.78,Rajshahi Division
5/15/2019,Lentils (masur) - Retail,59.5,Rajshahi Division
6/15/2019,Lentils (masur) - Retail,59.41,Rajshahi Division
8/15/2019,Lentils (masur) - Retail,63.0666,Rajshahi Division
10/15/2019,Lentils (masur) - Retail,58,Rajshahi Division
11/15/2019,Lentils (masur) - Retail,58.3,Rajshahi Division
12/15/2019,Lentils (masur) - Retail,58.5,Rajshahi Division
1/15/2020,Lentils (masur) - Retail,62.7,Rajshahi Division
2/15/2020,Lentils (masur) - Retail,66.3,Rajshahi Division
3/15/2020,Lentils (masur) - Retail,65.1,Rajshahi Division
4/15/2020,Lentils (masur) - Retail,78.66,Rajshahi Division
5/15/2020,Lentils (masur) - Retail,82.9,Rajshahi Division
6/15/2020,Lentils (masur) - Retail,75.26,Rajshahi Division
7/15/2020,Lentils (masur) - Retail,71.5,Rajshahi Division
8/15/2020,Lentils (masur) - Retail,73.5,Rajshahi Sadar
9/15/2020,Lentils (masur) - Retail,73.5,Rajshahi Sadar
10/15/2020,Lentils (masur) - Retail,69.675,Rajshahi Sadar
11/15/2020,Lentils (masur) - Retail,69,Rajshahi Sadar
12/15/2020,Lentils (masur) - Retail,69,Rajshahi Sadar
1/15/2021,Lentils (masur) - Retail,69,Rajshahi Sadar
2/15/2021,Lentils (masur) - Retail,69,Rajshahi Sadar
3/15/2021,Lentils (masur) - Retail,69.94,Rajshahi Sadar
4/15/2021,Lentils (masur) - Retail,71,Rajshahi Sadar
5/15/2021,Lentils (masur) - Retail,71,Rajshahi Sadar
6/15/2021,Lentils (masur) - Retail,71,Rajshahi Sadar
7/15/2021,Lentils (masur) - Retail,71,Rajshahi Sadar
8/15/2021,Lentils (masur) - Retail,71,Rajshahi Sadar
9/15/2021,Lentils (masur) - Retail,89.13,Rajshahi Sadar
10/15/2021,Lentils (masur) - Retail,89.92,Rajshahi Sadar
11/15/2021,Lentils (masur) - Retail,87.5,Rajshahi Sadar
12/15/2021,Lentils (masur) - Retail,87.5,Rajshahi Sadar
